term,acc,name,covoc_id,is_obsolete
http://purl.obolibrary.org/obo/OMIT_0000159,OMIT:0000159,has_human_miRNA,,
http://purl.obolibrary.org/obo/OMIT_0019104,OMIT:0019104,"Epitopes, B-Lymphocyte",BMV_13,
http://purl.obolibrary.org/obo/OMIT_0015957,OMIT:0015957,Immunoblotting,BMV_71,
http://purl.obolibrary.org/obo/OMIT_0000001,OMIT:0000001,computationally_asserted_evidence,,
http://purl.obolibrary.org/obo/OMIT_0013538,OMIT:0013538,"Selection, Genetic",BMV_54,
http://purl.obolibrary.org/obo/OMIT_0002855,OMIT:0002855,Base Sequence,BMV_14,
http://purl.obolibrary.org/obo/OMIT_0015767,OMIT:0015767,Global Health,BMV_57,
http://purl.obolibrary.org/obo/OMIT_0000002,OMIT:0000002,information_from_miRNA_target_prediction_databases,,
http://purl.obolibrary.org/obo/OMIT_0000160,OMIT:0000160,has_miRNA_target_gene,,
http://purl.obolibrary.org/obo/CLO_0009524,CLO:0009524,Vero cell,CL:6,
http://purl.obolibrary.org/obo/CLO_0009524,CLO:0009524,Vero cell,CL:6,
http://purl.obolibrary.org/obo/CLO_0002172,CLO:0002172,Caco-2 cell,CL:1,
http://purl.obolibrary.org/obo/CLO_0002172,CLO:0002172,Caco-2 cell,CL:1,
http://purl.obolibrary.org/obo/CLO_0002192,CLO:0002192,Calu-3 cell,CL:2,
http://purl.obolibrary.org/obo/CLO_0002192,CLO:0002192,Calu-3 cell,CL:2,
http://purl.obolibrary.org/obo/CLO_0007059,CLO:0007059,K-562 cell,CL:10,
http://purl.obolibrary.org/obo/CLO_0007059,CLO:0007059,K-562 cell,CL:10,
http://purl.obolibrary.org/obo/CLO_0000015,CLO:0000015,derives from patient having disease,,
http://purl.obolibrary.org/obo/CLO_0002462,CLO:0002462,CHO-K1 cell,CL:9,
http://purl.obolibrary.org/obo/CLO_0002462,CLO:0002462,CHO-K1 cell,CL:9,
http://purl.obolibrary.org/obo/CLO_0037208,CLO:0037208,derived from anatomic part,,
http://purl.obolibrary.org/obo/CLO_0000179,CLO:0000179,is disease model for,,
http://purl.obolibrary.org/obo/HP_0100749,HP:0100749,Chest pain,DIS_11,
http://purl.obolibrary.org/obo/HP_0012735,HP:0012735,Cough,DIS_19,
http://purl.obolibrary.org/obo/HP_0002014,HP:0002014,Diarrhea,DIS_22,
http://purl.obolibrary.org/obo/HP_0002027,HP:0002027,Abdominal pain,DIS_1,
http://purl.obolibrary.org/obo/HP_0000988,HP:0000988,Skin rash,DIS_51,
http://purl.obolibrary.org/obo/HP_0000002,HP:0000002,Abnormality of body height,,
http://purl.obolibrary.org/obo/HP_0012531,HP:0012531,Pain,DIS_47,
http://purl.obolibrary.org/obo/HP_0002013,HP:0002013,Vomiting,DIS_69,
http://purl.obolibrary.org/obo/HP_0000001,HP:0000001,All,,
http://purl.obolibrary.org/obo/HP_0002017,HP:0002017,Nausea and vomiting,DIS_45,
http://purl.obolibrary.org/obo/HP_0001945,HP:0001945,Fever,DIS_30||DIS_31,
http://purl.obolibrary.org/obo/HP_0003326,HP:0003326,Myalgia,DIS_43,
http://purl.obolibrary.org/obo/HP_0100806,HP:0100806,Sepsis,DIS_57,
http://purl.obolibrary.org/obo/HP_0002018,HP:0002018,Nausea,DIS_44,
http://purl.obolibrary.org/obo/HP_0002094,HP:0002094,Dyspnea,DIS_25,
http://purl.obolibrary.org/obo/HP_0001025,HP:0001025,Urticaria,DIS_64,
http://purl.obolibrary.org/obo/HP_0012378,HP:0012378,Fatigue,DIS_29,
http://purl.obolibrary.org/obo/HP_0031246,HP:0031246,Nonproductive cough,DIS_24,
http://purl.obolibrary.org/obo/HP_0025143,HP:0025143,Chills,DIS_12,
http://purl.obolibrary.org/obo/HP_0001649,HP:0001649,Tachycardia,DIS_62,
http://purl.obolibrary.org/obo/HP_0031417,HP:0031417,Rhinorrhea,DIS_56,
http://purl.obolibrary.org/obo/HP_0002789,HP:0002789,Tachypnea,DIS_63,
http://purl.obolibrary.org/obo/HP_0030830,HP:0030830,Crackles,DIS_50,
http://purl.obolibrary.org/obo/HP_0000969,HP:0000969,Edema,DIS_26,
http://purl.obolibrary.org/obo/HP_0025406,HP:0025406,Asthenia,DIS_70,
http://purl.obolibrary.org/obo/HP_0000822,HP:0000822,Hypertension,DIS_36,
http://purl.obolibrary.org/obo/HP_0001742,HP:0001742,Nasal obstruction,DIS_17,
http://purl.obolibrary.org/obo/HP_0000989,HP:0000989,Pruritus,DIS_49,
